rank,city,2021
1,"New York city, New York","8,467,513"
2,"Los Angeles city, California","3,849,297"
3,"Chicago city, Illinois","2,696,555"
4,"Houston city, Texas","2,288,250"
5,"Phoenix city, Arizona","1,624,569"
6,"Philadelphia city, Pennsylvania","1,576,251"
7,"San Antonio city, Texas","1,451,853"
8,"San Diego city, California","1,381,611"
9,"Dallas city, Texas","1,288,457"
10,"San Jose city, California","983,489"
11,"Austin city, Texas","964,177"
12,"Jacksonville city, Florida","954,614"
13,"Fort Worth city, Texas","935,508"
14,"Columbus city, Ohio","906,528"
15,"Indianapolis city (balance), Indiana","882,039"
16,"Charlotte city, North Carolina","879,709"
17,"San Francisco city, California","815,201"
18,"Seattle city, Washington","733,919"
19,"Denver city, Colorado","711,463"
20,"Oklahoma City city, Oklahoma","687,725"
21,"Nashville-Davidson metropolitan government (balance), Tennessee","678,851"
22,"El Paso city, Texas","678,415"
23,"Washington city, District of Columbia","670,050"
24,"Boston city, Massachusetts","654,776"
25,"Las Vegas city, Nevada","646,790"
26,"Portland city, Oregon","641,162"
27,"Detroit city, Michigan","632,464"
28,"Louisville/Jefferson County metro government (balance), Kentucky","628,594"
29,"Memphis city, Tennessee","628,127"
30,"Baltimore city, Maryland","576,498"
31,"Milwaukee city, Wisconsin","569,330"
32,"Albuquerque city, New Mexico","562,599"
33,"Fresno city, California","544,510"
34,"Tucson city, Arizona","543,242"
35,"Sacramento city, California","525,041"
36,"Mesa city, Arizona","509,475"
37,"Kansas City city, Missouri","508,394"
38,"Atlanta city, Georgia","496,461"
39,"Omaha city, Nebraska","487,300"
40,"Colorado Springs city, Colorado","483,956"
41,"Raleigh city, North Carolina","469,124"
42,"Virginia Beach city, Virginia","457,672"
43,"Long Beach city, California","456,062"
44,"Miami city, Florida","439,890"
45,"Oakland city, California","433,823"
46,"Minneapolis city, Minnesota","425,336"
47,"Tulsa city, Oklahoma","411,401"
48,"Bakersfield city, California","407,615"
49,"Wichita city, Kansas","395,699"
50,"Arlington city, Texas","392,786"
51,"Aurora city, Colorado","389,347"
52,"Tampa city, Florida","387,050"
53,"New Orleans city, Louisiana","376,971"
54,"Cleveland city, Ohio","367,991"
55,"Anaheim city, California","345,940"
56,"Urban Honolulu CDP, Hawaii","345,510"
57,"Henderson city, Nevada","322,178"
58,"Stockton city, California","322,120"
59,"Lexington-Fayette urban county, Kentucky","321,793"
60,"Corpus Christi city, Texas","317,773"
61,"Riverside city, California","317,261"
62,"Santa Ana city, California","309,441"
63,"Orlando city, Florida","309,154"
64,"Irvine city, California","309,031"
65,"Cincinnati city, Ohio","308,935"
66,"Newark city, New Jersey","307,220"
67,"St. Paul city, Minnesota","307,193"
68,"Pittsburgh city, Pennsylvania","300,431"
69,"Greensboro city, North Carolina","298,263"
70,"St. Louis city, Missouri","293,310"
71,"Lincoln city, Nebraska","292,657"
72,"Plano city, Texas","288,253"
73,"Anchorage municipality, Alaska","288,121"
74,"Durham city, North Carolina","285,527"
75,"Jersey City city, New Jersey","283,927"
76,"Chandler city, Arizona","279,458"
77,"Chula Vista city, California","277,220"
78,"Buffalo city, New York","276,807"
79,"North Las Vegas city, Nevada","274,133"
80,"Gilbert town, Arizona","273,136"
81,"Madison city, Wisconsin","269,196"
82,"Reno city, Nevada","268,851"
83,"Toledo city, Ohio","268,508"
84,"Fort Wayne city, Indiana","265,974"
85,"Lubbock city, Texas","260,993"
86,"St. Petersburg city, Florida","258,201"
87,"Laredo city, Texas","256,153"
88,"Irving city, Texas","254,198"
89,"Chesapeake city, Virginia","251,269"
90,"Winston-Salem city, North Carolina","250,320"
91,"Glendale city, Arizona","249,630"
92,"Scottsdale city, Arizona","242,753"
93,"Garland city, Texas","242,035"
94,"Boise City city, Idaho","237,446"
95,"Norfolk city, Virginia","235,089"
96,"Spokane city, Washington","229,071"
97,"Fremont city, California","227,514"
98,"Richmond city, Virginia","226,604"
99,"Santa Clarita city, California","224,593"
100,"San Bernardino city, California","222,203"
101,"Baton Rouge city, Louisiana","222,185"
102,"Hialeah city, Florida","220,490"
103,"Tacoma city, Washington","219,205"
104,"Modesto city, California","218,771"
105,"Port St. Lucie city, Florida","217,523"
106,"Huntsville city, Alabama","216,963"
107,"Des Moines city, Iowa","212,031"
108,"Moreno Valley city, California","211,600"
109,"Fontana city, California","210,761"
110,"Frisco city, Texas","210,719"
111,"Rochester city, New York","210,606"
112,"Yonkers city, New York","209,530"
113,"Fayetteville city, North Carolina","208,778"
114,"Worcester city, Massachusetts","205,918"
115,"Columbus city, Georgia","205,617"
116,"Cape Coral city, Florida","204,510"
117,"McKinney city, Texas","202,690"
118,"Little Rock city, Arkansas","201,998"
119,"Oxnard city, California","201,879"
120,"Amarillo city, Texas","201,234"
121,"Augusta-Richmond County consolidated government (balance), Georgia","201,196"
122,"Salt Lake City city, Utah","200,478"
136,"Akron city, Ohio","189,347"
200,"Dayton city, Ohio","137,571"
445,"Parma city, Ohio","79,982"
534,"Canton city, Ohio","70,426"
582,"Lorain city, Ohio","65,430"
609,"Hamilton city, Ohio","62,947"
643,"Youngstown city, Ohio","60,270"
666,"Springfield city, Ohio","58,763"
690,"Kettering city, Ohio","57,377"
754,"Elyria city, Ohio","52,816"
783,"Middletown city, Ohio","50,998"
786,"Cuyahoga Falls city, Ohio","50,810"
794,"Newark city, Ohio","50,383"
798,"Lakewood city, Ohio","50,104"